model,prompt_template,temperature,mean_js_divergence,mean_tv_distance,match_high,match_info,match_low,item_correlation,n_items,invalid_rate
qwen2_5_7b,meta_label,0.7,0.03755693950058237,0.19663911845730028,0.35,0.37,0.78,0.13357121556410018,30,0
gemma3_12b,chain_of_thought,0.7,0.08226593372520179,0.25735537190082647,0.4,0.14,0.86,0.4847343862592504,30,0
mistral_7b,self_reported_confidence,0.7,0.11190375825660032,0.30016528925619834,0.39,0.8,0.5,-0.11707790840399902,30,0
gemma3_12b,log_probs,0.7,0.12001999031848694,0.31550964187327823,0.27,0.1,0.8,0.46839660068227257,30,0
gemma3_12b,direct_label,0.7,0.12184403398897141,0.3188429752066116,0.26,0.1,0.8,0.4681611444477134,30,0
gemma3_12b,meta_label,0.7,0.12572189415137697,0.34090909090909094,0.3,0.1,0.87,0.2752977627729589,30,0
gemma3_12b,self_reported_confidence,0.7,0.13515856251586908,0.33550964187327825,0.21,0.1,0.8,0.4331885174714906,30,0
llama3_1_8b,chain_of_thought,0.7,0.1366613512818782,0.31476584022038573,0.09,0.64,0.47,-0.4489332190873594,30,0
mistral_7b,chain_of_thought,0.7,0.14442435600122377,0.40143250688705234,0.24,0.73,0.25,-0.4076925267965822,30,0
qwen2_5_7b,chain_of_thought,0.7,0.15921190334848756,0.34881542699724516,0.05,0.69,0.57,-0.4485233280302832,30,0
llama3_1_8b,meta_label,0.7,0.17572252414361267,0.4503301822772227,0.11827956989247312,0.7127659574468085,0.18478260869565216,-0.6276313098443987,30,0.07
llama3_1_8b,self_reported_confidence,0.7,0.17997900424304378,0.45143250688705233,0.1,0.75,0.23,-0.5164988927792077,30,0
mistral_7b,direct_label,0.7,0.18428876028120814,0.44280379553106824,0.11,0.27,0.898989898989899,0.0629117935362345,30,0.0033333333333333335
mistral_7b,log_probs,0.7,0.19232203329918776,0.44557251269706893,0.08602150537634409,0.25263157894736843,0.9191919191919192,0.049430471169325974,30,0.043333333333333335
qwen2_5_7b,direct_label,0.7,0.21317827566498587,0.40881542699724516,0.02,0.82,0.6,-0.47763680715724527,30,0
mistral_7b,meta_label,0.7,0.22984508782935922,0.4184266911539639,0.020202020202020204,0.8,0.6666666666666666,-0.35420404958341434,30,0.006666666666666667
qwen2_5_7b,log_probs,0.7,0.24474726266197042,0.4154820936639118,0,0.83,0.57,-0.513156816725283,30,0
llama3_1_8b,log_probs,0.7,0.2594104206872335,0.5334986225895317,0.02,0.81,0.17,-0.6270923747429881,30,0
llama3_1_8b,direct_label,0.7,0.260291728004111,0.5501652892561983,0.05,0.81,0.12,-0.6953562458310861,30,0
qwen2_5_7b,self_reported_confidence,0.7,0.2623589963284948,0.4667493112947659,0,0.84,0.4,-0.537989052210621,30,0
