model,prompt_template,total,n_invalid,invalid_rate
llama3_1_8b,meta_label,300,21,0.07
mistral_7b,log_probs,300,13,0.043333333333333335
mistral_7b,meta_label,300,2,0.006666666666666667
mistral_7b,direct_label,300,1,0.0033333333333333335
gemma3_12b,chain_of_thought,300,0,0
gemma3_12b,direct_label,300,0,0
gemma3_12b,log_probs,300,0,0
gemma3_12b,meta_label,300,0,0
gemma3_12b,self_reported_confidence,300,0,0
llama3_1_8b,chain_of_thought,300,0,0
llama3_1_8b,direct_label,300,0,0
llama3_1_8b,log_probs,300,0,0
llama3_1_8b,self_reported_confidence,300,0,0
mistral_7b,chain_of_thought,300,0,0
mistral_7b,self_reported_confidence,300,0,0
qwen2_5_7b,chain_of_thought,300,0,0
qwen2_5_7b,direct_label,300,0,0
qwen2_5_7b,log_probs,300,0,0
qwen2_5_7b,meta_label,300,0,0
qwen2_5_7b,self_reported_confidence,300,0,0
