condition,response_label,n,total,proportion,match_rate
high,high,766,1210,0.6330578512396694,0.6330578512396694
high,info,238,1210,0.19669421487603306,0.6330578512396694
high,low,206,1210,0.17024793388429751,0.6330578512396694
info,high,388,1210,0.32066115702479336,0.3628099173553719
info,info,439,1210,0.3628099173553719,0.3628099173553719
info,low,383,1210,0.3165289256198347,0.3628099173553719
low,high,189,1210,0.15619834710743802,0.543801652892562
low,info,363,1210,0.3,0.543801652892562
low,low,658,1210,0.543801652892562,0.543801652892562
