experiment,rsa_model,llm,mean_jsd_rsa_human,mean_jsd_rsa_llm,mean_jsd_llm_human
Listener,nonparametric,Qwen2.5-7B × meta_label,0.08976768116119023,0.30335819563644556,0.25522877862167026
Listener,average,Qwen2.5-7B × meta_label,0.08976768116119024,0.30335819563644556,0.25522877862167026
Listener,prag,Qwen2.5-7B × meta_label,0.09608459435216142,0.30475683127444086,0.25522877862167026
Listener,lr,Qwen2.5-7B × meta_label,0.0965792807863534,0.30508531864098926,0.25522877862167026
Listener,maximin,Qwen2.5-7B × meta_label,0.10351722118432004,0.3116116885393698,0.25522877862167026
Speaker,maximin,Gemma3-12B,0.06761227330957684,0.35893614968955007,0.2997291836549071
Speaker,nonparametric,Gemma3-12B,0.0809891903601942,0.34595869694872483,0.2997291836549071
Speaker,lr,Gemma3-12B,0.1085202300746448,0.402844074593855,0.2997291836549071
Speaker,prag,Gemma3-12B,0.10922178815002236,0.40319332783061446,0.2997291836549071
Speaker,base,Gemma3-12B,0.18359757999817367,0.44093164405467744,0.2997291836549071
