model,framing,sentence,n,proportion
gemma3_12b,high,most | most | right,130,0.32663316582914576
gemma3_12b,high,most | all | right,70,0.17587939698492464
gemma3_12b,high,some | some | right,42,0.10552763819095477
gemma3_12b,high,all | some | right,33,0.0829145728643216
gemma3_12b,high,all | all | right,30,0.07537688442211055
gemma3_12b,high,some | most | right,26,0.06532663316582915
gemma3_12b,high,all | most | right,17,0.04271356783919598
gemma3_12b,high,most | some | right,17,0.04271356783919598
gemma3_12b,high,some | all | right,13,0.032663316582914576
gemma3_12b,high,all | none | wrong,10,0.02512562814070352
gemma3_12b,high,all | some | wrong,10,0.02512562814070352
gemma3_12b,low,some | some | wrong,227,0.5675
gemma3_12b,low,most | most | wrong,48,0.12
gemma3_12b,low,most | some | wrong,37,0.0925
gemma3_12b,low,all | all | right,21,0.0525
gemma3_12b,low,all | some | wrong,20,0.05
gemma3_12b,low,some | most | wrong,17,0.0425
gemma3_12b,low,all | none | wrong,14,0.035
gemma3_12b,low,all | some | right,13,0.0325
gemma3_12b,low,all | all | wrong,3,0.0075
llama3_1_8b,high,some | most | right,93,0.2605042016806723
llama3_1_8b,high,most | some | right,79,0.22128851540616246
llama3_1_8b,high,most | all | right,43,0.12044817927170869
llama3_1_8b,high,most | most | right,31,0.08683473389355742
llama3_1_8b,high,all | most | right,28,0.0784313725490196
llama3_1_8b,high,some | all | right,23,0.06442577030812324
llama3_1_8b,high,all | some | right,18,0.05042016806722689
llama3_1_8b,high,some | most | wrong,10,0.028011204481792718
llama3_1_8b,high,most | some | wrong,5,0.014005602240896359
llama3_1_8b,high,some | some | right,5,0.014005602240896359
llama3_1_8b,high,all | all | right,4,0.011204481792717087
llama3_1_8b,high,all | most | wrong,4,0.011204481792717087
llama3_1_8b,high,all | some | wrong,4,0.011204481792717087
llama3_1_8b,high,most | most | wrong,3,0.008403361344537815
llama3_1_8b,high,most | none | right,3,0.008403361344537815
llama3_1_8b,high,all | none | wrong,1,0.0028011204481792717
llama3_1_8b,high,most | none | wrong,1,0.0028011204481792717
llama3_1_8b,high,some | all | wrong,1,0.0028011204481792717
llama3_1_8b,high,some | none | right,1,0.0028011204481792717
llama3_1_8b,low,some | most | wrong,167,0.43041237113402064
llama3_1_8b,low,most | some | wrong,51,0.13144329896907217
llama3_1_8b,low,some | none | right,42,0.10824742268041238
llama3_1_8b,low,some | none | wrong,35,0.09020618556701031
llama3_1_8b,low,most | none | right,25,0.06443298969072164
llama3_1_8b,low,some | some | wrong,23,0.059278350515463915
llama3_1_8b,low,most | none | wrong,11,0.028350515463917526
llama3_1_8b,low,most | most | wrong,10,0.02577319587628866
llama3_1_8b,low,most | some | right,7,0.01804123711340206
llama3_1_8b,low,some | all | wrong,5,0.01288659793814433
llama3_1_8b,low,some | most | right,4,0.010309278350515464
llama3_1_8b,low,all | most | wrong,3,0.007731958762886598
llama3_1_8b,low,some | some | right,3,0.007731958762886598
llama3_1_8b,low,none | most | right,2,0.005154639175257732
mistral_7b,high,all | most | right,82,0.31297709923664124
mistral_7b,high,most | some | right,52,0.1984732824427481
mistral_7b,high,some | most | right,51,0.1946564885496183
mistral_7b,high,most | most | right,20,0.07633587786259542
mistral_7b,high,all | some | right,15,0.05725190839694656
mistral_7b,high,most | all | right,10,0.03816793893129771
mistral_7b,high,most | some | wrong,7,0.026717557251908396
mistral_7b,high,some | most | wrong,6,0.022900763358778626
mistral_7b,high,some | some | right,5,0.019083969465648856
mistral_7b,high,some | some | wrong,5,0.019083969465648856
mistral_7b,high,all | some | wrong,3,0.011450381679389313
mistral_7b,high,none | some | wrong,3,0.011450381679389313
mistral_7b,high,all | none | wrong,1,0.003816793893129771
mistral_7b,high,none | all | wrong,1,0.003816793893129771
mistral_7b,high,some | all | right,1,0.003816793893129771
mistral_7b,low,some | most | wrong,170,0.7657657657657657
mistral_7b,low,most | some | wrong,29,0.13063063063063063
mistral_7b,low,some | some | wrong,9,0.04054054054054054
mistral_7b,low,none | all | wrong,5,0.02252252252252252
mistral_7b,low,all | none | wrong,4,0.018018018018018018
mistral_7b,low,none | some | wrong,2,0.009009009009009009
mistral_7b,low,most | some | right,1,0.0045045045045045045
mistral_7b,low,some | most | right,1,0.0045045045045045045
mistral_7b,low,some | none | right,1,0.0045045045045045045
qwen2_5_7b,high,all | most | right,125,0.3132832080200501
qwen2_5_7b,high,all | some | right,123,0.3082706766917293
qwen2_5_7b,high,some | most | right,38,0.09523809523809523
qwen2_5_7b,high,most | some | right,27,0.06766917293233082
qwen2_5_7b,high,all | all | right,20,0.05012531328320802
qwen2_5_7b,high,all | none | wrong,20,0.05012531328320802
qwen2_5_7b,high,all | some | wrong,12,0.03007518796992481
qwen2_5_7b,high,all | none | right,9,0.022556390977443608
qwen2_5_7b,high,most | all | right,7,0.017543859649122806
qwen2_5_7b,high,some | most | wrong,7,0.017543859649122806
qwen2_5_7b,high,some | all | wrong,4,0.010025062656641603
qwen2_5_7b,high,some | some | right,3,0.007518796992481203
qwen2_5_7b,high,none | all | wrong,2,0.005012531328320802
qwen2_5_7b,high,none | some | right,2,0.005012531328320802
qwen2_5_7b,low,all | some | wrong,77,0.1934673366834171
qwen2_5_7b,low,most | some | wrong,50,0.12562814070351758
qwen2_5_7b,low,none | some | wrong,46,0.11557788944723618
qwen2_5_7b,low,all | none | right,42,0.10552763819095477
qwen2_5_7b,low,all | most | right,40,0.10050251256281408
qwen2_5_7b,low,none | most | wrong,32,0.08040201005025126
qwen2_5_7b,low,all | most | wrong,29,0.0728643216080402
qwen2_5_7b,low,most | none | right,20,0.05025125628140704
qwen2_5_7b,low,most | some | right,12,0.03015075376884422
qwen2_5_7b,low,all | none | wrong,10,0.02512562814070352
qwen2_5_7b,low,none | all | wrong,10,0.02512562814070352
qwen2_5_7b,low,none | some | right,10,0.02512562814070352
qwen2_5_7b,low,all | some | right,6,0.01507537688442211
qwen2_5_7b,low,all | all | right,5,0.01256281407035176
qwen2_5_7b,low,some | most | wrong,4,0.010050251256281407
qwen2_5_7b,low,most | all | right,2,0.005025125628140704
qwen2_5_7b,low,none | most | right,2,0.005025125628140704
qwen2_5_7b,low,some | none | right,1,0.002512562814070352
